code,loc,dates,user,environment,transports,securite,sante,sp_loisirs,culture,enseignement,commerces,qualite_de_vie,comm_positif,comm_negatif,agree,disagree,average
69001,LYON 1ER ARRONDISSEMENT,NA,Chlo,0,5,2,10,5,6,5,7,7,"Personnellement,  je trouve que c'est l'un des quartiers les plus agréables de Lyon. Avant,  c'était vraiment délabré,  moche et inexistant. Maintenant,  ils en ont fait un endroit joli et agréable.
Tout d'abord,  si tu es sur la Presqu'île,  tu profites d'un cadre aéré et d'un quartier relativement dynamique,  où tout est faisable à pied. On y trouve tous les médecins nécessaires,  on est proche de l'hôpital de la Croix-Rousse,  et il est tout à fait possible de se passer de voiture.
Les magasins (ceux qui restent) sont très jolis,  tout comme les immeubles. Le quartier est bien fréquenté en journée,  et les bars sont super sympas. Honnêtement,  pour moi,  c'est l'un des meilleurs quartiers de Lyon : tout est à proximité,  et la nuit,  ce n'est pas du tout bruyant.
À la base,  je suis Parisienne,  mais c'est vrai que les Lyonnais peuvent avoir un côté froid. En revanche,  je préfère largement leur mentalité à celle des Marseillais ou d'autres. Ce sont des gens civilisés,  intelligents et cultivés. Ils peuvent parfois être dans l'entre-soi,  mais une fois qu'on intègre leur cercle,  on y est bien accueilli et pour longtemps.
Il n'y a pas du tout ce côté superficiel qu'on peut retrouver dans le Sud,  ni cette mentalité “Snap” qu'on observe à Paris. Ce sont des gens qui ont les pieds sur terre,  avec un esprit à la fois bourgeois et ancré dans le terroir,  ce qui est très agréable. Bien sûr,  selon les quartiers,  on trouve toutes sortes de populations.
Il ne faut pas oublier que Lyon est une ville historiquement catholique,  avec une population relativement bourgeoise et conservatrice,  mêlée à une immigration massive sur trois générations.","Le gros problème du quartier,  qui est à mon avis un problème inhérent au reste de la France et des grandes villes,  c'est qu'il est aujourd'hui quasiment impossible de se garer,  notamment en raison de la future piétonnisation de la ville. Oubliez la voiture,  vous pouvez carrément la vendre,  non seulement à cause de la ZFE,  mais aussi parce que tout est fait pour vous décourager de vous déplacer en voiture. Cela vous cantonne à travailler dans le centre-ville et à y avoir vos amis,  car posséder un véhicule est devenu mission impossible.
Deuxièmement,  si le quartier est bien fréquenté en journée,  la nuit,  dès 19 heures,  c'est une catastrophe. Il est envahi par des bandes,  c'est sale,  il y a des bagarres en permanence. On est proche des pentes de la Croix-Rousse,  donc il y a aussi un grand nombre de migrants. La police fait ce qu'elle peut,  mais malheureusement,  c'est un problème qui concerne la France en général…
D'autre part,  avec la piétonnisation de la ville,  la plupart des magasins,  pourtant très beaux,  ferment les uns après les autres,  et le quartier devient de plus en plus désert. Reste à voir ce qu'il deviendra en juin,  une fois la piétonnisation terminée,  mais pour l'instant,  l'inquiétude grandit.
Enfin,  il faut reconnaître qu'il fait extrêmement chaud. C'est étouffant,  mais ça,  c'est un problème général à Lyon. L'avantage de vivre ici,  c'est qu'on est à proximité de la piscine du Rhône à pied. Mais il est vrai que la chaleur peut être difficile à supporter",16,3,5.2
69001,LYON 1ER ARRONDISSEMENT,NA,Gone X-roussien,1,6,0,2,3,4,4,4,1,Plus aucun.,"D'une saleté inimaginable,  odeur d'urine presque partout,  tout le bas des pentes est devenu une zone en perdition. Agressions,  vols,  crimes,  je ne reconnais plus mon quartier. La maire se fiche complètement des habitants. Beaucoup de commerçants ferment,  il reste des bars ouverts tard dans la nuit,  donc énormément de nuisances sonores. Insécurité qui explose à cause du trafic de stupéfiants,  des bâtiments squattés,  des camps de migrants dans les parcs. La police débordée ne peut plus gérer.
Bref un ENFER ! Nous n'attendons qu'une chose,  c'est déménager.",27,1,2.8
69001,LYON 1ER ARRONDISSEMENT,NA,laura,6,9,5,8,6,6,7,8,6,"Ville idéalement située en France à 2h de Paris en TGV (pratique côté professionnel pour garder un pied dans le poumon économique de la France),  2h des montagnes en voiture (on peut s'aérer les poumons à la journée lors d'une sortie ski ou rando,  c'est toujours appréciable) et 1h40 de Marseille en TGV pour se la couler douce dans les calanques le temps d'un week-end.
La ville en elle-même est relativement à taille humaine comparé à Paris,  en 20min (à pied/vélo/métro selon l'endroit),  on peut réaliser 90% des trajets urbains du quotidien.
Le parc de la tête d'or offre un espace verdoyant et qualitatif très appréciable pour courir. Le Rhône et la Saône apportent un espace aéré rendant la ville plus supportable.
Côté évènements cette ville offre de nombreux atouts : concerts,  festivals,  événements gastronomiques et musicaux (notamment électro). La fête des lumières et les nuits sonores en sont des exemples iconiques.
Le quartier Part-Dieu est également en plein renouveau (tours de bureaux récentes,  offrant un côté davantage 'corporate' bien appréciable et redynamisant cette ville un peu morne).
Le culte de la gastronomie et du vin est bien ancré avec notamment les  restaurants locaux ""bouchons"".
La métropole de Lyon développe beaucoup des pistes cyclables. C'est très pratique pour se déplacer en ville. Le culte du vélo est bien présent ici.
Les Lyonnais sont dans l'ensemble des gens relativement civilisés et éduqués comparés à d'autres villes,  notamment Marseille,  où on trouve tout un tas de personnes peu évoluées,  grugeuses,  agressives et superficielles.
Présence policière en centre-ville assez marquée.
Lyon (et sa métropole) est au final un compromis relativement viable pour vivre en France en mettant dans la balance plusieurs facteurs : socioprofessionnel,  bassin d'emploi dynamique (le 2ème Français pour les cadres après Paris),  qualité de vie,  loisirs,  transports (transports en commun,  LGV,  aéroport,  A6),  accès à la nature,  civisme.
Je parle bien de compromis. Parce que Lyon c'est aussi...","On dit que Lyon est un petit Paris. C'est un peu vrai. Lyon et la banlieue est sont bétonnées. Ilots de chaleur l'été,  pollution. La circulation en voiture est difficile (2ème pire ville après Paris!).
Certains quartiers dortoirs mornes et bétonnés couplés à la morosité des provinciaux à la mentalité endormie fomentent un désagréable sentiment de déclin social et de dégoût.
Clairement si vous cherchez l'effervescence,  le dynamisme et le potentiel d'une ville comme Paris (en terme intellectuel,  professionnel,  culturel,  festif et de mentalité réveillée),  ici vous allez être déçus.
Les vrais Lyonnais ont un tempérament froid et restent dans l'entre-soi,  à la limite de la consanguinité sociale.
Le coût de l'immobilier atteint des sommets. Certains biens immobiliers bien placés frôlent les 8k€ le m2!
La gentrification n'apporte que de la déception aux primo-accédants devant s'installer dans des quartiers périphériques mal famés à cause du coût du logement devenu trop onéreux dans les bons quartiers.
J'invite les politicien(ne)s se disant de gauche à assumer leurs idéaux de mixité sociale et à s'installer avec leur famille dans de tels quartiers et à scolariser leurs enfants dans l'école publique du coin au lieu d'un bon établissement privé..
Le quartier Guillotière n'a rien à envier à Barbes et concentre des personnes issues de l'immigration et ne souhaitant pas s'intégrer.
La banlieue est Lyonnaise (Lyon8,  Villeurbanne,  Vaulx en Velin,  Vénissieux,  St Priest,  Bron) rassemble une bonne partie de la délinquance,  de la pauvreté et de la beaufitude locale. N'allez pas y habiter.
Comme dans toutes les grandes villes Française de nos jours,  mais particulièrement ici,  vous y trouverez toute une population originale comme des moustachus hipsters intolérants au lactose,  coiffés d'un bonnet en plein mois de juillet et s'habillant dans des friperies ; ou encore des LGBTQIA++ non genrés végétariens aux cheveux roses et dont l'assortiment de la douzaine d'anneaux dans les oreilles se marie très bien avec leurs bottes Dr.Martens et leur pantalon trop court en velours issu de la dernière collection du cirque Pinder.
Les pentes de la croix rousse et la place des terreaux,  véritable terre promise pour accueillir ces marginaux typés ""art du spectacle"",  vous offriront également des scènes d'expressions politisées très orientées LFI.
A la place des terreaux,  où vous y trouverez un cocktail d'urine,  de bagarres et de gens alcoolisés tous les soirs,  vous aurez le loisir d'apprécier la convergence de la racaille de banlieue venue faire rugir le moteur de leur BMW louée à la journée. Notons enfin les nombreuses manifestations pro Palestine sur la Presqu'île fin2023
Bref,  malgré les défauts inhérents aux grandes villes ,  Lyon reste une ville relativement bien tenue dans son ensemble.Adresse email invalide !!",8,7,6.8
69001,LYON 1ER ARRONDISSEMENT,NA,Jeanjeandu34,2,4,1,6,6,8,5,6,0,"Lyon ville historique avec des musées,   des monuments,   des transports,   des voitures,   donc du bruit c'est normal,   les inconvénients d'une grande ville.
Le quartier historique St Jean magnifique mais vous trouverez très bien ailleurs.","Points positifs ou négatifs franchement Lyon 3ème ville de France j'ai honte c'est une belle ville historique mais la mentalité c'est le fric c'est vraiment horrible,  j'habite à Lyon depuis 12 ans je sais de quoi je parle,  aucune hospitalité,  froideur et même un rejet total de  l'étranger je suis un sudiste """""" mais si tu n'es pas content tu dégages on t'a pas sonné"""""" extrême difficulté de communication, je rêve de partir très vite de cette ville toxique. Car la mentalité c'est complètement faux à l'extrême,  atteinte à la vie privée,  crasses entres les gens entres voisins sur la vie privée ou pour de l'argent, cela fini en bastons dans les rues, il y a aussi beaucoup de violence entres les gens,   c'est une ville que je déconseille fortement, pour finir en dépression c'est le top du top.",28,8,4.2
69001,LYON 1ER ARRONDISSEMENT,NA,did,5,8,6,5,6,7,6,7,8,"Très belle ville, bonne ambiance,  ville ouverte,  agréable pour balades,  shopping,  tourisme,  transport,  sécurité : présence de police et de la surveillance camera ; une ville à visiter à découvrir et à faire découvrir, au top. Avec une vue à couper le souffle quand nous sommes sur la basilique de Fourvière.",Aucun.,5,27,6.4
69001,LYON 1ER ARRONDISSEMENT,NA,Canutdu69,3,7,3,7,6,10,10,10,9,"La douceur de vivre et le fait de pouvoir tout faire à pieds. L'architecture, la mixité et le côté vivant des pentes. L'authenticité et la sympathie des locaux (même s'ils peuvent paraître froid au premier abord). Le côté village et l'offre culturelle hors du commun. Les établissements scolaires, la proximité des fleuves. Les restos et bars et le côté familial.","C'est triste, mais même si j'aime mon quartier (et ma ville), je dois reconnaître que les rodéos sauvages se multiplient, les incivilités aussi, les forces de l'ordre sont aux abonnés absents, la propreté et la cadre de vie se dégradent. Le manque d'espace vert ainsi que l'absence de terrains de sport sont également problématiques. Merci à Gérard Collomb d'avoir pensé à développer l'attractivité de la ville plutôt que de s'occuper réellement des préoccupations quotidiennes de ses habitants. En espérant que les nouveaux élus se soucieront d'avantage des habitants qu'ils représentent.",13,12,7.2
69001,LYON 1ER ARRONDISSEMENT,NA,Vieuxlyonnais,8,9,10,3,7,10,3,2,5,"Jolis quartiers, assez diversifiés entre le quartier Opéra qui est assez festif, Sathonay plus familial, les pentes de la Croix-Rousse avec une jolie offre d'associations culturelles, centre LGBT, librairies, galeries, espaces communautaires... Des épiceries et bureaux de tabac à chaque coin de rue ! Les quais sont très agréables l'été.","Le réseau de transports en commun est assez satisfaisant lorsqu'on se déplace dans la métropole (par contre faut pas être trop pressé), cependant c'est la croix et la bannière pour aller à Venissieux ou sur le campus universitaire de Bron. Et bon courage pour se garer après 20h... mais c'est ce qui fait le charme des pentes. Le plus gros point négatif, je pense, c'est le prix de l'immobilier et des courses qui a flambé (qui achète un kilo de pommes à 3,50€ ?).",9,5,6.3
69001,LYON 1ER ARRONDISSEMENT,NA,lespentes,7,10,10,9,8,10,9,9,10,"vous êtes arrivé dans ce quartier depuis 5 ans et vous vous plaignez de l'insécurité et du bruit, mais si vous aviez connu ses heures sombres croyez moi vous seriez déjà heureux de voir à quel point ça c'est calmé. vous allez rendre ce quartier sans âme à vouloir imposer votre mode de vie de bobo parisien qui aime la mixité uniquement quand ça ne le concerne pas. je suis né ici et certaines choses ne changeront sûrement jamais mais c'est ce qui fait le charme de ce quartier, si vous cherchez un endroit tranquille, propre et où tous vos voisins vous ressemblent allez à la croix rousse ou dans le 6eme. c'est un privilège d'habiter ici et vous essayez de faire passer ce quartier pour un enfer où il est trop dangereux de sortir la nuit, croyez moi il y a 10 ans c'était pire.","les nouveaux habitants qui ont du mal à comprendre que c'est à eux de s'adapter à notre mode de vie et pas l'inverse.
bref, si vous cherchez un quartier avec du charme, proche de tout et populaire (dans le 1er sens du terme) venez, sinon arrêtez de pleurnicher sur ce site et trouvez vous un quartier qui vous ressemble.",12,255,9.1
69001,LYON 1ER ARRONDISSEMENT,NA,En colère,0,10,4,9,5,9,6,10,5,"Quartier vivant et dynamique avec bars, restaurants, commerces tous aussi sympathiques les uns que les autres, pas de gênes sonores ou olfactives de leur part. Clientèle à leur image.","Trottoirs ultra sales (urines canines et humaines, vomis, excréments canins), odeurs nauséabondes. Bruits: poubelles et vidanges des silos à verres très tôt le matin (la Métropole ne fait rien), cris de zombies en pleine nuit, rodéo de grosses cylindrées en pleine nuit, musique à fond de la part de ces bofs dans leur bagnoles la nuit et le jour, vitesse excessive, pas de policiers (sous effectif), pas de radars Quai Jean Moulin, sentiment d'insécurité et d'impunité.",255,5,6.4
69001,LYON 1ER ARRONDISSEMENT,NA,Marshy,7,9,5,6,9,9,7,7,7,Lyon 1er.  Quartier avec beaucoup de charme. Un des meilleurs quartiers de la ville sans aucun doute !!! Les pentes de la Croix Rousse sont assez raides mais très sympa.,"depuis quelques temps déjà le quartier a changé malheureusement !! Les jardins des pentes de La Croix Rousse sont envahis par les alcoolos, SDF et surtout drug dealers !!! Les bruits nocturnes sont très réguliers entre les rodéos et sorties de bar !! Le 1er n'est vraiment plus ce qu'il était !!",255,5,7.3
69001,LYON 1ER ARRONDISSEMENT,NA,oscar69001,9,10,9,8,7,10,10,9,10,"meilleur quartier de Lyon avec beaucoup de charme, on s'ennuie jamais et il y a tout le temps de la vie peu importe l'heure.
le 1er arrondissement a toujours été bruyant donc si vous aimez pas le bruit venez pas.","le quartier change et les bobos nous envahissent avec leurs commerces bizarres mais ça va ils font pas trop les fiers non plus.
c'est compliqué de se garer du coup c'est mieux d'être à scooter.
depuis que le quartier n'est plus en ZUP on a perdu beaucoup d'avantages mais bon c'est plutôt bon signe.",18,255,9.1
69001,LYON 1ER ARRONDISSEMENT,NA,Renaud_69001,9,8,9,9,8,10,7,10,10,"De nombreux commerces bios et locaux.
Nombreuses librairies et galeries.
Peu de circulation.
Un quartier calme surtout au dessus de la place Sathonay.
De nombreux parcs et espaces verts.
Incroyable qualité de vie.","La montée de la grande côte à pied ?
Un peu bruyant en dessous de la place Sathonay.
Peu de restos sur les pentes-même.",8,255,8.9
69001,LYON 1ER ARRONDISSEMENT,NA,alex,6,8,5,5,7,8,8,8,9,"quartier historique bien placé en coeur de Lyon, quartier vivant, animé. commerces en nombre, beaucoup de bars, restaurants. opéra, cinés de quartier.","manque de stationnement. certaines rues insalubres, sales. en fin de soirée, ambiance un peu ""spéciale"" (trafics drogue,  incivilités,. .) malgré présence policière.",255,10,7.1
69001,LYON 1ER ARRONDISSEMENT,NA,Prd2,6,7,5,7,8,10,7,8,7,"Beau quartier, vivant à toute heure de la journée. Les marques nationales et internationales se mêlent aux petits commerces indépendants, ce qui rend le choix très facile. De nombreux bars et restaurants complètent l'offre et permettent une animation permanente.","De véritables poches de pauvreté rendent la traversée du quartier difficile à certaines heures.
Sans parler des traditionnelles associations qui vous harcèlent à chaque passage devant l'opéra.",172,8,7.2
69001,LYON 1ER ARRONDISSEMENT,NA,Jack_Schpard,6,9,5,6,8,7,6,9,8,Mes notes le montrent. Y a tout à Lyon et surtout au 1er arrondissement. Ville complète de bout en bout. Vraiment.,Disons que l'ambiance est bizarre parfois à partir d'une certaine heure mais ça peut aller. Egalement un effort sur la propreté de la ville doit être fait parce que certains endroits sont quelques peu ragoutants.,113,5,7.1
69001,LYON 1ER ARRONDISSEMENT,NA,Lorelei,6,6,9,10,10,10,10,9,9,"Quartier historique vivant, une grande mixité sociale selon là où l'on se trouve dans l'arrondissement (pentes ou Opéra), des commerces, des bars, des jeunes, des vieux, la vie quoi!","Pas assez de commerces dans les pentes de la croix Rousse (surtout haut des pentes). Quartier qui grimpe, il faut avoir de bonnes jambes. Et gros point noir: Stationnement quasi impossible!",90,9,8.8
69001,LYON 1ER ARRONDISSEMENT,NA,Marina_Ginesta,5,7,10,10,3,10,5,1,8,"Beau quartier architecturalement, vivant ... très vivant. Le quartier est surpeuplé à 1h du matin et ça quand on est une femme, on trouve ça plutôt rassurant (c'est pas le cas de tout le monde). Jamais de remarque vulgaire ou sexiste.","Des fils de bourgeois à tous les coins de rue. Tout le monde est mince (maigre) et avec des fringue de marque, un étalage de m'as-tu-vu et des regards plein de vanité. J'ai l'impression d'habiter dans le magazine Be Street, et comme tout le monde est blindé il n'y a que des monoprix et monoprix c'est hors de prix ! C'est le problème majeur du quartier, les courses coûtent très très chères.",93,27,6.6
69001,LYON 1ER ARRONDISSEMENT,NA,Cécilia,1,9,1,6,6,9,5,8,4,"Quartier vivant, bien desservi, proximité de tous commerces, on peut tout faire à pied, à velo ou en bus.
Beaucoup de lieux de culture, d'associations, d'expos.","Quartier bruyant, la journée c'est encore acceptable, mais la nuit c'est un tout autre quartier que l'on découvre. Certes l'ambiance avec les bars, boites et resto ça a l'air plutôt festif, mais les weekends, et ce dès le jeudi soir (surtout en été), c'est insupportable. Ambiance qui au fil de la soirée se dégrade, personnes ivres,  puis insécurité, agressions, rodéos, etc. Ça devient invivable , il serait temps que la mairie  du 1er arrondissement réagisse.",110,19,5.4
69001,LYON 1ER ARRONDISSEMENT,NA,adam937,7,7,8,8,7,9,8,8,8,une proximité immédiate avec tout. un cadre de vie très agréable malgré la densité. une dynamique de vie extra et accessible à beaucoup de monde. une mixité de population importante. la facilité de déplacement malgré le dénivelé,le manque de verdure,18,72,7.8
69001,LYON 1ER ARRONDISSEMENT,NA,Clara,4,9,9,9,9,10,8,10,8,"Un quartier super sympa, très accessible et au centre de la ville. Accès à la presqu'île ou à la Croix Rousse très simple. Plein de petits commerces avec une âme, c'est un quartier vivant et animé.",Peut mieux faire niveau espaces verts et la pollution n'en parlons pas.,20,39,8.4
69001,LYON 1ER ARRONDISSEMENT,NA,Christo nico,8,7,10,9,9,10,10,9,9,Quartier très dépaysant les gens y sont sympas les commerçants souriants. L'architecture  et les parcs sont somptueux et cerises sur le gâteau il y a un accès facile à l'art  : cine cafe-théâtre bars alternatifs associations c'est top.,"Rien, le stationnement peut être",20,33,9
69001,LYON 1ER ARRONDISSEMENT,NA,jbl,8,8,6,7,7,9,7,8,9,"Très très charmant avec ses rues, ses escaliers, ses maisons de couleurs et les traboules. Pleins de petits commerces et bars agréables, une offre culturelle conséquente, une vue sur Lyon superbe et une vie nocturne trépidante. 
Une Ambiance très agréable et une douceur de vie que de nombreuses personnes envient.",la Sécurité et la propreté par moment.,11,30,7.7
69001,LYON 1ER ARRONDISSEMENT,NA,tom,2,8,2,8,7,10,10,10,7,La culture et les commerces sont les points forts du quartier,"Malheureusement un quartier mal fréquenté et dans lequel on se sent de moins en moins a l'aise, de nombreuses agressions ont lieu sans qu'on en parle !",27,3,7.1
69001,LYON 1ER ARRONDISSEMENT,NA,Julien,0,9,7,10,9,9,9,9,5,"LYON EN GÉNÉRAL restos    (bouchons et cie), sorties, bars , boutiques, culture. c'est sympa pour toutes ces raisons 
dans le 1er, 2e, 4e et 5e qui sont sympas.","LYON EN GÉNÉRAL  pollution    ressentie dès l'arrivée, circulation horrible, manque de verdure incroyable.
les inconvénients d'une capitale pour une ville de province.
les autres arrondissements sont sans âmes.
communautarisme marqué",37,3,7.4
69001,LYON 1ER ARRONDISSEMENT,NA,lyonnaisdecoeur,4,7,9,5,5,9,8,9,9,"Arrondissement très bien situé, quartier vraiment pittoresque. C'est assez propre et très vivant. Quartier en pleine reconversion qui attire étudiant, jeunes actifs et autres artistes. On découvre de nouvelles choses à chaque fois que l'on y arpente les rues. Proximité des quais de Rhône et de Saône. Plein de commerces très différents. Petit côté dolce vita à l'italienne.","Les batiments sont encore un peu sales, et le relief en fait un quartier peu pratique lorsque l'on est chargé. Le stationnement est tout bonnement affreux, c'est pourquoi il est préférable d'utiliser les transports en commun.",6,24,7.2
69001,LYON 1ER ARRONDISSEMENT,NA,Julien,8,10,9,9,9,9,10,10,8,"au centre de tout, accès facile au centre ville ou à la croix rousse!
Commerces sympa et variés
niveau enseignement au top","parfois du bruit le soir  dans les grands événement surtout (fete des lumieres, fete de la musique)
un peu cher",5,3,9.1
69001,LYON 1ER ARRONDISSEMENT,NA,PunPan,3,9,7,2,3,9,5,7,9,"Endroit Jeune-Cool-Fun, pratique, accessible, agréable dans l'ensemble, plein de petits coins sympas et hype. On peut se rendre dans tous les autres arrondissement rapidement.","Le bruit la nuit, beaucoup de personnes en état d'ébriété qui crient dans la rue. Une circulation motorisée encore trop présente, on ne peut pas traverser sans être sur le qui vive sans arrêt.",6,2,6
